"[' 7- 8-2011', 1, '9', 0.8333333333333334, '15', '15', '0', '0', '0', '291', '106', '46', '13', '15', '42', '0.278', '4.27', '0', '4', '3', '0', '405', '0', '46', '1', '5', '6', 0]"
"[' 7- 9-2011', 1, '9', 0.9, '28', '28', '0', '0', '0', '513', '133', '71', '18', '55', '173', '0.211', '3.74', '1', '9', '5', '0', '696', '0', '76', '4', '3', '5', 9]"
"[' 7-10-2011', 1, '9', 1.0, '33', '33', '5', '0', '0', '701', '218', '90', '19', '67', '222', '0.248', '3.47', '0', '12', '7', '1', '964', '0', '99', '3', '7', '25', 0]"
"[' 7-15-2011', 0, '9', 1.0, '25', '25', '5', '1', '0', '512', '168', '63', '11', '25', '123', '0.258', '3.32', '1', '3', '0', '0', '690', '0', '73', '4', '9', '16', 5]"
"[' 7-16-2011', 0, '9', 0.8571428571428571, '34', '34', '0', '0', '0', '623', '214', '96', '19', '82', '147', '0.269', '4.16', '1', '15', '8', '0', '901', '0', '102', '8', '6', '17', 0]"
"[' 7-16-2011', 0, '9', 1.0, '15', '15', '0', '0', '0', '248', '87', '47', '17', '31', '91', '0.267', '5.12', '0', '4', '2', '0', '363', '0', '48', '1', '3', '2', 7]"
"[' 7-17-2011', 0, '9', 1.3333333333333333, '32', '32', '0', '0', '0', '606', '175', '70', '17', '91', '197', '0.23', '3.12', '1', '6', '8', '1', '864', '0', '81', '3', '2', '18', 0]"
"[' 7-20-2011', 1, '9', 3.2, '32', '32', '4', '4', '0', '594', '201', '87', '22', '67', '162', '0.262', '3.95', '1', '2', '6', '1', '843', '0', '97', '1', '3', '20', 9]"
"[' 7-21-2011', 1, '8', 2.2857142857142856, '34', '34', '3', '1', '0', '670', '191', '73', '16', '74', '206', '0.232', '2.94', '0', '6', '10', '0', '915', '0', '89', '3', '5', '31', 0]"
"[' 7-22-2011', 0, '8', 0.4444444444444444, '23', '16', '0', '0', '0', '347', '128', '63', '15', '40', '83', '0.284', '4.9', '6', '2', '4', '2', '499', '1', '69', '1', '4', '12', 17]"
"[' 7-23-2011', 0, '5', 0.2857142857142857, '34', '12', '1', '1', '0', '303', '119', '64', '16', '32', '61', '0.288', '5.7', '3', '2', '3', '0', '451', '3', '73', '0', '3', '7', 0]"
"[' 7-24-2011', 0, '8', 0.5294117647058824, '34', '32', '2', '0', '0', '624', '213', '100', '26', '66', '130', '0.267', '4.33', '5', '0', '9', '0', '889', '1', '113', '5', '10', '21', 18]"
"[' 7-27-2011', 0, '8', 0.3333333333333333, '11', '10', '0', '0', '0', '152', '55', '23', '6', '17', '36', '0.266', '4.09', '1', '4', '0', '0', '227', '1', '35', '0', '3', '4', 2]"
"[' 7-29-2011', 0, '4', 1.5555555555555556, '31', '31', '0', '0', '0', '546', '210', '96', '18', '46', '104', '0.292', '4.75', '1', '12', '8', '0', '784', '0', '103', '5', '5', '23', 0]"
"[' 8-19-2011', 1, '8', 0.6666666666666666, '9', '5', '0', '0', '0', '92', '36', '21', '7', '13', '23', '0.293', '6.16', '0', '1', '1', '0', '137', '1', '21', '0', '0', '2', 14]"
"[' 8-20-2011', 1, '8', 1.0, '12', '11', '0', '0', '0', '208', '88', '39', '11', '10', '35', '0.304', '5.06', '1', '0', '4', '0', '305', '0', '44', '1', '1', '6', 4]"
"[' 8-21-2011', 1, '8', 0.1111111111111111, '12', '12', '0', '0', '0', '149', '81', '59', '18', '24', '38', '0.372', '10.69', '1', '0', '0', '0', '245', '0', '60', '1', '2', '4', 14]"
"[' 8-24-2011', 1, '7', 0.4, '10', '8', '1', '1', '0', '152', '64', '35', '9', '13', '35', '0.314', '6.22', '1', '1', '1', '0', '222', '1', '35', '2', '1', '6', 3]"
"[' 8-26-2011', 0, '4', 3.2, '32', '32', '4', '4', '0', '594', '201', '87', '22', '67', '162', '0.262', '3.95', '1', '2', '6', '1', '843', '0', '97', '1', '3', '20', 5]"
"[' 8-27-2011', 0, '8', 2.2857142857142856, '34', '34', '3', '1', '0', '670', '191', '73', '16', '74', '206', '0.232', '2.94', '0', '6', '10', '0', '915', '0', '89', '3', '5', '31', 17]"
"[' 8-30-2011', 0, '7', 0.16666666666666666, '7', '7', '0', '0', '0', '88', '46', '29', '13', '10', '13', '0.351', '8.9', '0', '0', '3', '0', '146', '0', '35', '1', '1', '3', 38]"
"[' 8-31-2011', 0, '8', 1.0, '33', '33', '5', '0', '0', '701', '218', '90', '19', '67', '222', '0.248', '3.47', '0', '12', '7', '1', '964', '0', '99', '3', '7', '25', 5]"
"[' 9- 1-2011', 0, '8', 0.42857142857142855, '11', '10', '0', '0', '0', '159', '61', '39', '11', '16', '41', '0.289', '6.62', '1', '2', '3', '0', '233', '0', '41', '0', '3', '4', 2]"
"[' 9- 2-2011', 1, '6', 0.6923076923076923, '33', '33', '3', '1', '0', '666', '262', '106', '23', '40', '102', '0.294', '4.3', '0', '4', '8', '2', '955', '0', '123', '7', '9', '18', 4]"
"[' 9- 3-2011', 1, '7', 0.6428571428571429, '32', '28', '1', '1', '0', '485', '193', '94', '21', '52', '115', '0.299', '5.23', '3', '3', '1', '0', '711', '0', '102', '7', '6', '16', 15]"
"[' 9- 4-2011', 1, '8', 0.0, '14', '8', '0', '0', '0', '178', '78', '44', '10', '5', '34', '0.321', '6.67', '0', '0', '3', '0', '258', '1', '44', '3', '4', '5', 0]"
"[' 9- 5-2011', 1, '7', 0.16666666666666666, '7', '7', '0', '0', '0', '88', '46', '29', '13', '10', '13', '0.351', '8.9', '0', '0', '3', '0', '146', '0', '35', '1', '1', '3', 0]"
"[' 9- 6-2011', 1, '9', 1.0, '33', '33', '5', '0', '0', '701', '218', '90', '19', '67', '222', '0.248', '3.47', '0', '12', '7', '1', '964', '0', '99', '3', '7', '25', 0]"
"[' 9- 7-2011', 1, '7', 0.42857142857142855, '11', '10', '0', '0', '0', '159', '61', '39', '11', '16', '41', '0.289', '6.62', '1', '2', '3', '0', '233', '0', '41', '0', '3', '4', 0]"
"[' 9-10-2011', 1, '7', 2.375, '33', '33', '3', '1', '0', '712', '230', '79', '17', '61', '230', '0.255', '3', '4', '2', '7', '1', '985', '0', '87', '8', '7', '24', 12]"
"[' 9-11-2011', 1, '8', 1.5, '26', '25', '0', '0', '0', '440', '152', '59', '16', '45', '96', '0.268', '3.62', '5', '4', '3', '0', '626', '1', '63', '4', '7', '6', 0]"
"[' 9-12-2011', 0, '7', 1.3333333333333333, '32', '32', '0', '0', '0', '606', '175', '70', '17', '91', '197', '0.23', '3.12', '1', '6', '8', '1', '864', '0', '81', '3', '2', '18', 0]"
