Date,Home,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Draftkings Score
 9-15-2014,1,2,1.6666666666666667,28,28,0,0,0,537,167,70,20,21,154,0.244,3.52,2,2,2,0,709,0,70,0,1,12,11
 9-16-2014,1,2,0.8333333333333334,29,29,1,1,0,491,151,70,16,64,143,0.248,3.85,3,6,11,4,693,0,77,4,4,23,5
 9-17-2014,1,2,1.5,13,13,0,0,0,222,60,25,3,29,59,0.223,3.04,2,7,1,0,303,0,29,3,1,9,0
 9-19-2014,1,2,0,5,3,0,0,0,62,13,7,2,12,17,0.186,3.05,1,1,1,0,83,0,8,0,0,4,0
 9-20-2014,1,2,0.7142857142857143,29,29,2,1,0,511,211,98,25,48,133,0.304,5.18,5,3,8,1,762,0,107,3,9,7,30
 9-21-2014,1,2,0.45454545454545453,23,22,0,0,0,378,128,61,15,44,56,0.267,4.36,2,1,7,0,537,1,66,3,4,11,14
 9-22-2014,0,2,0.8333333333333334,16,16,2,0,0,335,92,39,13,12,99,0.224,3.14,0,4,4,0,430,0,42,0,3,10,7
 9-23-2014,0,2,1.4,33,33,2,2,0,657,187,75,15,74,183,0.232,3.08,2,15,7,0,899,0,84,8,5,21,0
 9-24-2014,0,2,1.5,11,11,1,1,0,230,66,20,7,16,71,0.232,2.35,0,1,1,0,305,0,24,1,3,6,10
 9-26-2014,0,2,1.6666666666666667,28,28,0,0,0,537,167,70,20,21,154,0.244,3.52,2,2,2,0,709,0,70,0,1,12,14
 9-27-2014,0,2,1.5,13,13,0,0,0,222,60,25,3,29,59,0.223,3.04,2,7,1,0,303,0,29,3,1,9,2
 9-28-2014,0,2,2.5,34,34,0,0,0,708,170,56,16,46,248,0.2,2.14,1,18,5,0,912,0,68,4,5,12,0
 4- 6-2015,0,2,2.0,31,31,2,2,0,605,180,79,23,58,191,0.24,3.53,0,10,9,0,826,0,80,4,4,18,14
 4- 7-2015,0,2,0.75,13,13,0,0,0,201,67,29,8,29,56,0.253,3.9,1,5,0,0,297,0,34,0,3,4,5
 4- 8-2015,0,2,1.8,20,20,1,1,0,389,117,51,18,21,111,0.24,3.54,1,1,1,0,516,0,53,4,3,9,9
 4-10-2015,1,2,2.5,9,9,0,0,0,129,46,19,5,12,27,0.271,3.98,0,0,1,0,183,0,20,0,0,6,8
